Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.001413903,-56.99161,1.528512,7.230629
1,0.001473319,-56.63406,0.7805391,6.301222
10,0.001392953,-57.12127,-0.3548789,9.103615
50,0.001436721,-56.85255,9.085176,7.929606
100,0.001827067,-54.76491,10.49829,8.215854
200,0.001994358,-54.00394,7.516716,8.219479
300,0.002206726,-53.12503,6.287277,8.363706
400,0.002242391,-52.98577,0.8465068,11.13029
500,0.002433906,-52.27392,-1.888292,9.380439
600,0.002374273,-52.48939,-6.779837,8.896986
700,0.002326258,-52.66685,-8.931695,9.805215
800,0.002325796,-52.66857,-6.415787,8.31045
900,0.002330619,-52.65057,-10.00491,11.96999
1000,0.002530036,-51.93747,-8.543663,9.019227
1200,0.002442165,-52.2445,-15.47467,10.63648
1400,0.002420444,-52.3221,-15.79949,10.87519
1600,0.002341484,-52.61017,-14.72748,11.95583
1800,0.002693968,-51.39215,-17.10403,6.322934
2000,0.002668327,-51.47522,-22.049,9.358829
