Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_deg,THD_percent
0.1,0.1008578,-19.92581,-4.51198,1.763775
1,0.1006932,-19.93999,-4.539714,1.766152
10,0.1006443,-19.94422,-5.044923,1.869756
50,0.1003244,-19.97187,-7.545425,1.739773
100,0.09947428,-20.04578,-10.47976,1.595125
200,0.09681169,-20.28144,-16.03052,1.193323
500,0.08743931,-21.16586,-29.80841,1.262978
1000,0.07504092,-22.49404,-45.97823,1.711406
1200,0.07137661,-22.92888,-49.97883,1.6778
1250,0.07057884,-23.02651,-49.41038,1.685925
1500,0.06681259,-23.50283,-55.59226,1.958453
1600,0.06539626,-23.68894,-58.98699,2.002264
2000,0.06071657,-24.33386,-64.49015,1.894964
2500,0.05626354,-24.99546,-78.67882,2.307456
3000,0.05268469,-25.56631,-86.15723,0.7695215
